iteration,total_ns,layout_ns,raster_ns,backend_ns,probe_ns,convert_ns,upload_ns,commit_ns,upload_bytes
1,5410770,69572,3624958,1342598,4714,744521,305134,284302,38664
2,4401362,138778,2708240,1270579,4558,694660,296191,272517,38664
3,5767267,69004,3899006,1512603,4309,907062,313611,284421,38664
4,6116436,77031,4268953,1419101,5179,858655,241348,309827,38664
5,6070444,90209,4172982,1435663,5762,753421,323178,349594,38664
6,5232397,79668,3527498,1320086,4035,733990,283973,294498,38664
7,4599981,66358,3031332,1193940,4684,691421,226797,268397,38664
8,4873974,67217,3178579,1317688,4724,769775,284653,255316,38664
9,5229350,59135,3286125,1589447,4132,936641,246303,399116,38664
10,4989781,65620,3110834,1499809,4078,772947,351472,368156,38664
11,5262262,80645,3390501,1446760,5744,834776,355568,247995,38664
12,4676483,65270,2873663,1420763,3312,660382,342781,411703,38664
13,4681262,65398,3137655,1167490,4142,696207,270028,194610,38664
14,4771551,59274,3024945,1404695,4177,760883,271700,364923,38664
15,5099958,89739,3234313,1448459,4601,824025,353117,264205,38664
16,4529078,74687,2708261,1443317,3885,675434,267304,494410,38664
17,4772388,76589,2892807,1494958,4191,703380,276399,508157,38664
18,4686942,71726,3113673,1196518,4660,763808,187566,237808,38664
19,4731362,66560,3144368,1215148,4570,762844,205201,239938,38664
20,4751542,79803,3197841,1193989,4425,778347,178634,229600,38664
21,4946662,64804,3316374,1274873,5006,854293,198385,214252,38664
22,4785303,65292,3175099,1251579,5112,763922,197882,281161,38664
23,4965195,68625,3319299,1275343,4792,801070,188827,277026,38664
24,5426737,75084,3604853,1392332,5544,841526,248660,292763,38664
25,5653687,81482,3447450,1649132,5045,875792,354618,410422,38664
26,5780902,78095,3750739,1625519,28142,851971,321025,421055,38664
27,6731545,92702,4627654,1636083,10004,898143,438044,286367,38664
28,5167484,75856,3298508,1397138,6190,866713,269092,251531,38664
29,6323350,101822,4478674,1367339,4521,822575,247094,289938,38664
30,5418027,83308,3395164,1630213,5293,807436,377605,436392,38664
31,5467034,72061,3210904,1860301,4289,849056,479908,524163,38664
32,6304559,78064,4197293,1689657,4631,882683,321235,477615,38664
33,6431902,84601,4219740,1763497,4453,1070122,288200,396427,38664
34,6332318,82716,4184795,1733965,4570,893409,524880,307695,38664
35,6160987,107058,4287920,1419837,8921,828894,260453,316960,38664
36,5785873,106543,3770091,1505949,5791,773092,344084,379325,38664
37,6296287,107111,4387303,1430673,6130,794293,261610,363987,38664
38,5907527,108314,3443800,1880825,5117,998549,380182,493106,38664
39,6542076,93188,4299057,1724720,6380,959916,387460,367308,38664
