iteration,total_ns,layout_ns,raster_ns,backend_ns,probe_ns,convert_ns,upload_ns,commit_ns,upload_bytes
1,724461,9646,152488,522307,229,254366,120876,146326,38664
2,926498,13617,254409,605616,526,356849,118520,128727,38664
3,1446198,15675,266205,1107022,417,351772,383235,370680,38664
4,1042133,15628,253903,708984,478,252026,206861,248779,38664
5,725439,11721,160887,509773,314,198648,112407,197789,38664
6,666420,8998,148908,475031,263,196800,103725,173686,38664
7,862096,9469,144662,678314,209,211973,221165,243778,38664
8,888293,9303,166396,676645,317,253011,168364,254486,38664
9,701382,9663,160434,502802,320,177572,110588,213706,38664
10,950440,15005,220431,653925,469,223935,197608,230893,38664
11,641807,9818,142544,454460,308,178009,112105,163414,38664
12,685369,8604,145412,504418,303,216464,110285,176761,38664
13,987476,12475,203563,731113,297,176964,239617,313708,38664
14,796970,8488,128998,629337,353,176741,163320,288405,38664
15,866950,7728,127358,708440,381,177572,154613,375302,38664
16,1139263,15631,195321,870109,508,197748,282798,387781,38664
17,967461,17306,204428,684362,550,218796,187478,276709,38664
18,840128,9253,147791,648336,230,214940,157582,275160,38664
19,1128926,8484,140745,949644,203,215605,252204,480830,38664
20,1335876,20231,297920,944813,881,287908,247430,407702,38664
21,1235792,10195,157126,1028908,233,208999,523164,295935,38664
22,1016888,15939,197286,747314,513,244158,236512,265135,38664
23,959582,17259,242157,638546,555,200382,227938,208732,38664
24,927690,15977,221343,634992,474,189205,144788,299622,38664
25,1118906,15544,207405,840652,521,196141,296018,346959,38664
26,1255143,21457,282246,880519,731,324464,306573,247642,38664
27,1146442,16887,215654,847995,372,261399,305715,279425,38664
28,1086935,12505,202599,822499,274,259167,228079,334026,38664
29,1358299,17920,279804,995584,720,293581,264434,435710,38664
30,1293402,20000,344416,862047,682,272523,210999,376688,38664
31,1221766,15079,165065,988552,513,292902,283042,411196,38664
32,1248831,15776,247759,924445,665,274025,395587,253085,38664
33,1277960,19574,271816,920941,739,271622,222665,424921,38664
34,1135744,20782,219551,817334,557,187535,203796,424345,38664
35,1477650,20966,210382,1165455,620,314629,239980,609150,38664
36,1284005,18201,272844,926687,736,274725,247968,402063,38664
37,1306141,23620,319584,877444,751,340033,219139,316496,38664
38,1168850,16492,251015,845654,502,386265,252797,205171,38664
39,1552223,13759,244825,1241066,402,285731,634389,319544,38664
40,1195051,23719,279422,807511,545,201274,275868,328545,38664
41,1363176,19714,296462,972210,854,275003,259045,436107,38664
42,1641248,24622,302639,1232199,744,414924,395314,420022,38664
43,1174334,17579,282099,807393,774,284686,191024,329919,38664
44,1191083,19393,283031,819781,737,281272,240915,296126,38664
45,1231537,14407,244813,918124,538,288641,296423,331955,38664
46,1330684,13273,252614,1012301,594,273245,342454,395318,38664
47,1488706,12186,236239,1190601,660,271127,296319,621410,38664
48,1568128,18355,279074,1204843,698,270938,388527,543693,38664
49,1134022,17499,218679,832987,659,213007,348963,269227,38664
50,788151,20457,192147,507843,471,195146,138395,172932,38664
51,693549,9042,185446,461479,433,190428,115458,154696,38664
52,817583,8973,133255,636270,252,193000,199161,243345,38664
53,734642,8812,157106,534541,296,196702,148439,188608,38664
54,667487,8800,147302,481625,274,180713,90202,209608,38664
55,969365,21334,275236,595847,742,332423,125193,136167,38664
56,943585,15337,232989,628255,401,356691,106643,163755,38664
57,952513,11396,244890,646638,394,370371,129804,145597,38664
58,1097458,10704,223021,822154,337,332049,125495,363623,38664
59,949903,12318,230696,656490,394,371717,132884,150800,38664
60,872078,12139,227485,575041,407,359245,89487,125324,38664
61,850558,9766,216047,585526,365,323745,105045,155653,38664
62,771643,15173,179089,523838,509,217625,125419,179403,38664
63,698956,10172,163858,487770,416,202717,101629,182209,38664
64,645413,9091,146700,459806,447,196545,98137,164120,38664
65,661259,7955,162559,462015,376,199899,98685,162322,38664
66,865829,12110,249439,563750,474,245668,129937,186844,38664
67,2074568,9957,179724,1848712,435,216429,1315887,315076,38664
68,1173739,17395,269561,824764,622,297985,242312,282708,38664
69,1399883,17113,298374,1021472,732,275624,279509,464476,38664
70,919438,17807,207666,631701,587,201528,202789,225963,38664
71,637101,9172,136161,450251,374,206108,105334,137988,38664
72,663377,8455,138177,482926,247,231028,82741,168541,38664
73,1230489,11039,232602,945953,313,403807,281962,259332,38664
74,819323,8737,157331,621561,234,197635,144438,278581,38664
75,868536,18311,211934,574690,469,197793,191911,183753,38664
76,935914,11355,154224,732235,491,203016,272300,255557,38664
77,959501,8535,149359,756290,277,196301,278107,281212,38664
78,1051992,9822,145363,858182,411,196743,315621,344792,38664
79,1387333,16696,268010,1041307,632,275886,549675,214097,38664
80,1041371,17433,213878,744365,536,235263,282270,225289,38664
81,993845,15052,184999,737056,633,224622,297013,213679,38664
82,912898,17682,203295,630601,546,220240,183897,224585,38664
83,1589183,17133,269861,1240369,725,341198,261349,635903,38664
84,1370079,17395,274964,1015691,669,274181,386053,353779,38664
85,1312848,16943,270278,963585,797,416309,243982,301436,38664
86,1249522,17526,224110,946695,582,198345,351861,394842,38664
87,1165114,16777,271255,815702,634,275744,264336,273898,38664
88,1119506,17673,267805,771498,656,246245,367370,156348,38664
89,757194,15769,190577,493849,499,236422,126395,129645,38664
90,642642,9692,147044,451877,228,216073,101869,133314,38664
91,624336,7169,167581,423429,207,196754,91813,134237,38664
92,563529,6865,132673,400796,178,186483,93449,120265,38664
93,562533,5737,119360,415842,170,205178,95927,114258,38664
94,541428,6442,119778,394260,157,176775,101821,115217,38664
95,551512,5634,118991,405844,192,176545,99516,129004,38664
96,1418063,17619,245775,1092072,549,219601,316643,554304,38664
97,1040936,15916,183760,785868,495,201295,254954,328174,38664
98,1044102,17276,202866,763463,687,218215,286598,257166,38664
99,673160,8830,151016,479629,271,215824,108991,154156,38664
100,1104560,7705,147855,922498,188,229882,317368,374311,38664
101,971149,17735,218400,663822,527,198774,206458,257222,38664
102,1296681,13809,165895,1062901,437,290676,305219,465652,38664
103,1248285,17518,222936,945699,547,218183,205805,520112,38664
104,1245623,17551,270665,895029,641,293563,273124,327046,38664
105,1091097,12706,253102,771718,640,274905,250417,244574,38664
106,1139198,35508,283316,758675,658,291550,205333,260163,38664
107,860757,12580,190680,607132,404,197416,183704,225094,38664
108,650228,9717,166580,439136,339,198084,108717,131434,38664
109,1091125,8050,166958,888371,248,210004,164285,513173,38664
110,1534279,18070,371728,1079033,898,286174,326060,464577,38664
111,1123668,17215,290109,752294,743,273299,275302,201871,38664
112,1174639,19886,208633,876704,559,185462,226739,463019,38664
113,1058598,17340,235589,743793,581,248741,181346,312232,38664
114,950520,13632,180569,705360,402,219722,250569,233950,38664
115,808727,8620,149270,619256,219,197852,130452,290204,38664
116,626750,7517,139639,451826,199,209679,92560,148991,38664
117,600421,7699,137005,417053,192,198237,85368,132784,38664
118,876470,7955,141532,700724,181,269344,231029,199360,38664
119,2024914,23522,311404,1605211,968,379577,295104,928121,38664
120,1594279,22545,276101,1225611,1094,383869,429589,409703,38664
121,1100829,15171,237129,785818,651,359119,177564,247808,38664
122,1339273,13181,227095,1049010,11217,364382,231035,441708,38664
123,1060705,13532,229755,768540,1966,364049,166117,235835,38664
124,999326,12140,220019,722907,525,378698,147815,195267,38664
125,1121877,12460,216004,850529,316,375852,205658,268139,38664
126,1283406,12082,248613,977989,464,344978,256441,374988,38664
127,1402379,18530,301547,1009924,933,281224,268230,458359,38664
128,1389308,18222,301189,996627,897,298464,251714,444601,38664
129,1531584,15911,277730,1181639,567,274404,321002,584605,38664
130,1634202,24024,330477,1191623,938,432740,356828,399658,38664
131,1033710,18560,214082,725334,694,197940,219912,305729,38664
132,1426670,15925,268213,1086440,718,244382,524723,315406,38664
133,1045047,19089,200229,766871,502,266356,261007,238042,38664
134,1140327,11845,196584,888519,417,247452,298992,340809,38664
135,1235778,18007,310296,844101,763,271027,222514,348665,38664
136,1484008,23204,308675,1073253,675,331580,318480,421375,38664
137,937061,14355,186864,679843,547,216756,196951,264755,38664
138,749811,9539,141952,565940,280,196378,144616,224198,38664
139,942885,7898,172645,735518,200,201112,207284,325937,38664
140,1343110,24516,328113,904978,780,444399,193847,264808,38664
141,1228093,17219,278110,871459,384,431329,182666,256034,38664
142,1261450,15850,295853,891597,402,387456,143312,359518,38664
143,956828,17062,222025,642741,561,198807,190897,251661,38664
144,691500,9971,146130,499872,202,199251,111324,188728,38664
145,694970,7335,135696,525173,202,207158,117722,199742,38664
146,1101383,6622,162580,907336,193,208528,113398,584622,38664
147,1367651,18997,272317,1006909,543,417861,254182,333315,38664
148,1477127,14423,265478,1143017,491,390496,281379,469827,38664
149,1411035,21296,263104,1051327,618,435650,369080,244480,38664
150,1402301,18398,326175,989344,767,273995,441834,271782,38664
151,1285671,21335,292728,891112,564,374122,236739,278598,38664
152,1051371,14124,249443,733644,429,384757,139136,208638,38664
153,1313477,11919,222892,1032752,397,383111,272426,376119,38664
154,1091887,16403,277415,738310,747,248851,216591,271089,38664
155,1360777,20244,285997,971109,659,363071,231233,375019,38664
156,1256937,20808,289597,872146,604,381537,189694,299428,38664
