sample,layout,scale,first_ms,p50_ms,p95_ms,p99_ms,layout_p95_ms,raster_p95_ms
basic,Vertical,1,22.521,6.376,7.318,7.610,4.296,3.183
basic,Vertical,2,31.921,7.130,8.231,8.518,4.323,4.088
basic,Horizontal,1,8.037,2.166,2.855,3.040,1.969,0.884
basic,Horizontal,2,19.893,2.508,2.995,3.376,1.796,1.205
mixed,Vertical,1,6.162,2.726,3.256,3.348,1.824,1.431
mixed,Vertical,2,17.953,3.450,4.913,5.399,2.291,2.471
mixed,Horizontal,1,3.664,1.275,1.600,1.654,0.927,0.687
mixed,Horizontal,2,10.187,1.494,1.961,1.982,0.958,1.009
long,Vertical,1,53.990,27.347,29.093,30.058,24.995,4.845
long,Vertical,2,111.445,30.632,33.187,34.799,25.649,8.805
long,Horizontal,1,35.259,17.543,20.513,22.363,18.690,1.909
long,Horizontal,2,62.711,19.148,22.469,23.974,19.118,3.511
narrow,Vertical,1,8.363,4.030,4.838,5.210,3.883,0.897
narrow,Vertical,2,14.885,4.491,5.218,5.257,3.869,1.349
narrow,Horizontal,1,3.116,1.876,2.341,2.539,2.064,0.253
narrow,Horizontal,2,6.843,1.821,2.141,2.203,1.871,0.290
