sample,layout,scale,first_ms,p50_ms,p95_ms,p99_ms,layout_p95_ms,raster_p95_ms
basic,Vertical,1,7.387,0.218,0.244,0.354,0.014,0.229
basic,Vertical,1.25,9.078,0.234,0.264,0.271,0.011,0.253
basic,Vertical,1.5,12.937,0.307,0.378,0.413,0.012,0.363
basic,Vertical,2,17.926,0.531,0.638,0.658,0.014,0.623
basic,Horizontal,1,4.211,0.089,0.100,0.117,0.010,0.087
basic,Horizontal,1.25,5.322,0.122,0.141,0.149,0.011,0.130
basic,Horizontal,1.5,8.010,0.147,0.251,0.293,0.015,0.233
basic,Horizontal,2,8.487,0.217,0.260,0.270,0.010,0.250
mixed,Vertical,1,3.433,0.129,0.162,0.202,0.009,0.153
mixed,Vertical,1.25,3.582,0.160,0.181,0.191,0.007,0.173
mixed,Vertical,1.5,5.871,0.234,0.263,0.280,0.008,0.255
mixed,Vertical,2,9.530,0.368,0.421,0.428,0.008,0.413
mixed,Horizontal,1,1.616,0.072,0.078,0.085,0.005,0.073
mixed,Horizontal,1.25,2.349,0.093,0.100,0.111,0.005,0.095
mixed,Horizontal,1.5,3.476,0.129,0.139,0.141,0.006,0.132
mixed,Horizontal,2,7.516,0.160,0.176,0.183,0.005,0.170
long,Vertical,1,22.511,1.087,1.335,1.658,0.314,1.020
long,Vertical,1.25,30.808,1.388,1.730,1.963,0.311,1.380
long,Vertical,1.5,40.044,1.766,2.202,2.235,0.321,1.901
long,Vertical,2,67.788,3.174,4.477,5.231,0.386,4.077
long,Horizontal,1,10.674,0.585,0.788,0.825,0.346,0.434
long,Horizontal,1.25,13.944,0.695,0.783,0.818,0.289,0.495
long,Horizontal,1.5,18.630,0.906,1.124,1.297,0.331,0.802
long,Horizontal,2,33.832,1.296,1.613,1.786,0.319,1.315
narrow,Vertical,1,2.882,0.165,0.182,0.193,0.047,0.133
narrow,Vertical,1.25,3.567,0.220,0.257,0.260,0.052,0.204
narrow,Vertical,1.5,5.383,0.210,0.245,0.250,0.043,0.199
narrow,Vertical,2,9.397,0.329,0.392,0.438,0.049,0.342
narrow,Horizontal,1,1.448,0.080,0.089,0.096,0.041,0.047
narrow,Horizontal,1.25,2.268,0.071,0.079,0.080,0.033,0.046
narrow,Horizontal,1.5,2.463,0.076,0.084,0.089,0.036,0.050
narrow,Horizontal,2,5.141,0.095,0.129,0.162,0.041,0.083
