sample,layout,scale,first_ms,p50_ms,p95_ms,p99_ms,layout_p95_ms,raster_p95_ms
basic,Vertical,1,10.876,0.221,0.274,0.417,0.013,0.260
basic,Vertical,1.25,11.407,0.288,0.373,0.378,0.013,0.359
basic,Vertical,1.5,13.586,0.391,0.479,0.484,0.014,0.464
basic,Vertical,2,16.639,0.660,0.799,0.822,0.014,0.783
basic,Horizontal,1,4.281,0.097,0.108,0.120,0.010,0.098
basic,Horizontal,1.25,4.912,0.148,0.163,0.169,0.010,0.151
basic,Horizontal,1.5,7.533,0.153,0.219,0.259,0.010,0.207
basic,Horizontal,2,12.419,0.280,0.374,0.398,0.011,0.362
mixed,Vertical,1,2.520,0.142,0.171,0.178,0.009,0.161
mixed,Vertical,1.25,5.244,0.170,0.238,0.247,0.008,0.229
mixed,Vertical,1.5,5.643,0.272,0.309,0.312,0.008,0.300
mixed,Vertical,2,9.337,0.410,0.524,0.782,0.008,0.516
mixed,Horizontal,1,1.569,0.089,0.098,0.117,0.006,0.091
mixed,Horizontal,1.25,3.127,0.126,0.145,0.149,0.007,0.138
mixed,Horizontal,1.5,3.423,0.117,0.123,0.133,0.004,0.117
mixed,Horizontal,2,6.350,0.239,0.269,0.302,0.006,0.263
long,Vertical,1,19.730,1.075,1.306,1.328,0.308,0.997
long,Vertical,1.25,29.854,1.398,1.742,1.915,0.312,1.440
long,Vertical,1.5,39.338,1.765,2.203,2.228,0.309,1.897
long,Vertical,2,56.931,2.582,3.330,3.459,0.309,3.023
long,Horizontal,1,7.673,0.496,0.648,0.698,0.286,0.358
long,Horizontal,1.25,15.209,0.574,0.792,0.845,0.286,0.507
long,Horizontal,1.5,14.889,0.756,0.947,0.991,0.286,0.658
long,Horizontal,2,30.546,1.286,1.737,1.783,0.344,1.366
narrow,Vertical,1,2.779,0.150,0.173,0.190,0.042,0.130
narrow,Vertical,1.25,3.238,0.229,0.274,0.282,0.053,0.220
narrow,Vertical,1.5,4.926,0.245,0.269,0.274,0.043,0.225
narrow,Vertical,2,9.696,0.362,0.450,0.461,0.050,0.400
narrow,Horizontal,1,1.480,0.072,0.089,0.094,0.042,0.046
narrow,Horizontal,1.25,1.542,0.066,0.072,0.073,0.032,0.039
narrow,Horizontal,1.5,2.101,0.070,0.075,0.080,0.027,0.047
narrow,Horizontal,2,3.981,0.098,0.110,0.111,0.033,0.072
