sample,layout,scale,change,width,height,first_ms,total_p50_ms,total_p95_ms,total_p99_ms,layout_p95_ms,raster_p95_ms,backend_p95_ms,probe_p95_ms,convert_p95_ms,upload_p95_ms,commit_p95_ms,mean_upload_bytes
short,vertical,1.00,same,179,198,8.897,1.141,1.985,749.584,0.018,0.246,1.659,0.003,0.257,0.001,1.452,0
short,vertical,1.00,highlight,179,198,0.873,1.197,2.060,753.714,0.018,0.261,1.739,0.002,0.261,0.857,0.939,38664
short,vertical,1.00,page,179,198,0.795,1.232,2.352,728.889,0.019,0.267,2.001,0.002,0.265,0.607,1.117,5728
short,vertical,1.25,same,223,248,8.381,1.233,580.506,794.144,0.019,0.352,580.222,0.007,0.420,0.001,579.972,0
short,vertical,1.25,highlight,223,248,1.126,1.332,2.647,744.684,0.020,0.319,2.167,0.002,0.374,0.826,1.260,60656
short,vertical,1.25,page,223,248,1.482,1.307,2.483,753.324,0.018,0.309,2.048,0.002,0.377,0.720,1.085,8920
short,vertical,1.50,same,268,297,10.823,1.852,504.386,704.355,0.016,0.418,504.084,0.006,0.557,0.001,503.734,0
short,vertical,1.50,highlight,268,297,1.484,1.721,2.617,654.694,0.017,0.367,2.274,0.002,0.487,0.712,1.266,87904
short,vertical,1.50,page,268,297,1.374,1.742,2.926,598.631,0.022,0.419,2.377,0.002,0.556,0.443,1.388,12864
short,vertical,2.00,same,357,396,18.063,3.050,5.293,705.529,0.015,0.573,4.845,0.002,0.891,0.001,4.185,0
short,vertical,2.00,highlight,357,396,3.021,3.269,4.506,631.014,0.017,0.545,4.059,0.002,0.814,0.603,2.451,154224
short,vertical,2.00,page,357,396,3.974,3.244,4.651,670.530,0.018,0.603,4.017,0.002,0.900,0.382,2.586,22848
short,horizontal,1.00,same,264,145,7.152,1.091,425.417,819.972,0.025,0.226,425.144,0.005,0.299,0.001,424.898,0
short,horizontal,1.00,highlight,264,145,0.789,1.241,2.383,744.362,0.023,0.231,2.113,0.002,0.260,0.685,1.073,28512
short,horizontal,1.00,page,264,145,1.182,1.292,1.983,743.313,0.021,0.219,1.823,0.002,0.275,0.461,1.027,8448
short,horizontal,1.25,same,329,182,7.412,1.297,579.161,784.043,0.022,0.265,578.860,0.007,0.387,0.001,578.622,0
short,horizontal,1.25,highlight,329,182,1.628,1.457,2.543,733.792,0.021,0.285,2.232,0.002,0.394,0.711,1.230,44744
short,horizontal,1.25,page,329,182,1.289,1.334,2.453,708.897,0.022,0.285,2.106,0.002,0.438,0.511,1.123,13160
short,horizontal,1.50,same,395,218,8.696,1.535,534.287,647.739,0.020,0.319,534.071,0.007,0.583,0.001,533.713,0
short,horizontal,1.50,highlight,395,218,1.928,1.475,2.616,675.183,0.017,0.310,2.385,0.002,0.487,0.380,1.208,64780
short,horizontal,1.50,page,395,218,2.003,1.647,3.110,650.500,0.018,0.352,2.579,0.002,0.621,0.494,1.355,18960
short,horizontal,2.00,same,527,290,14.861,3.163,5.369,701.189,0.017,0.461,4.552,0.002,0.963,0.002,3.293,0
short,horizontal,2.00,highlight,527,290,2.817,3.137,3.885,680.995,0.016,0.399,3.451,0.002,0.855,0.446,2.270,113832
short,horizontal,2.00,page,527,290,3.283,3.098,3.960,684.959,0.015,0.451,3.542,0.002,0.819,0.695,2.369,33728
long,vertical,1.00,same,682,333,26.906,4.200,6.751,331.984,0.046,1.392,5.206,0.002,1.332,0.001,3.598,0
long,vertical,1.00,highlight,682,333,4.104,5.386,6.665,94.546,0.048,1.372,5.309,0.002,1.426,0.568,3.349,147312
long,vertical,1.00,page,682,333,6.512,4.912,6.522,225.209,0.043,1.399,5.045,0.002,1.937,0.415,3.055,21824
long,vertical,1.25,same,853,417,34.373,6.338,7.644,8.502,0.046,2.262,5.610,0.001,2.621,0.002,3.116,0
long,vertical,1.25,highlight,853,417,7.140,6.117,7.216,8.155,0.043,1.785,5.375,0.002,2.205,0.740,2.702,232016
long,vertical,1.25,page,853,417,5.913,5.965,7.377,7.644,0.043,2.026,5.374,0.001,2.935,0.399,2.682,34120
long,vertical,1.50,same,1023,500,56.269,7.052,8.615,9.191,0.044,2.244,6.554,0.001,3.076,0.001,3.635,0
long,vertical,1.50,highlight,1023,500,6.811,7.303,8.949,9.743,0.042,2.218,6.864,0.001,3.075,0.719,3.443,335544
long,vertical,1.50,page,1023,500,6.639,8.218,9.605,10.877,0.047,2.534,7.247,0.002,3.398,0.454,3.460,49104
long,vertical,2.00,same,1364,666,88.930,11.076,13.255,13.640,0.046,3.567,9.826,0.002,5.660,0.002,4.525,0
long,vertical,2.00,highlight,1364,666,11.392,12.158,14.264,15.554,0.058,4.072,10.674,0.002,5.123,1.801,3.987,589248
long,vertical,2.00,page,1364,666,10.658,11.386,13.564,14.388,0.051,3.619,9.886,0.002,5.262,0.500,3.792,87296
long,horizontal,1.00,same,1507,145,23.977,3.734,5.452,300.496,0.090,0.717,4.681,0.006,1.272,0.001,3.361,0
long,horizontal,1.00,highlight,1507,145,3.687,4.257,6.970,259.782,0.102,0.790,6.057,0.002,1.683,0.726,3.379,162756
long,horizontal,1.00,page,1507,145,3.786,4.157,6.339,353.063,0.089,0.744,5.418,0.002,1.385,0.445,2.984,48224
long,horizontal,1.25,same,1564,182,159.472,4.429,5.505,269.936,0.097,0.979,4.359,0.002,1.984,0.002,2.694,0
long,horizontal,1.25,highlight,1564,182,4.848,3.911,5.181,5.438,0.078,0.770,4.240,0.001,1.592,0.500,2.266,212704
long,horizontal,1.25,page,1564,182,3.366,4.437,5.570,5.966,0.086,0.921,4.514,0.001,1.835,0.426,2.479,62560
long,horizontal,1.50,same,1493,218,29.897,4.227,5.393,121.093,0.085,0.863,4.326,0.001,2.045,0.001,2.600,0
long,horizontal,1.50,highlight,1493,218,4.344,4.796,6.560,44.487,0.094,0.991,5.363,0.002,2.308,0.853,2.386,244852
long,horizontal,1.50,page,1493,218,3.678,4.291,5.744,6.529,0.082,0.906,4.661,0.001,1.989,0.425,2.227,71664
long,horizontal,2.00,same,1478,290,32.631,5.419,6.536,6.953,0.083,1.132,5.297,0.001,2.744,0.001,2.578,0
long,horizontal,2.00,highlight,1478,290,4.773,5.987,7.528,8.259,0.090,1.380,6.258,0.001,3.222,0.765,2.982,319248
long,horizontal,2.00,page,1478,290,4.797,6.061,7.502,8.989,0.114,1.515,6.070,0.001,2.880,0.476,2.832,94592
