sample,layout,scale,first_ms,p50_ms,p95_ms,p99_ms,layout_p95_ms,raster_p95_ms
basic,Vertical,1,17.852,0.141,0.200,0.240,0.029,0.171
basic,Vertical,2,20.499,0.420,0.591,0.900,0.040,0.553
basic,Horizontal,1,1.707,0.106,0.145,0.153,0.016,0.129
basic,Horizontal,2,14.190,0.314,0.434,0.445,0.020,0.416
mixed,Vertical,1,18.163,0.216,0.271,0.273,0.035,0.237
mixed,Vertical,2,41.441,0.680,0.911,1.105,0.049,0.869
mixed,Horizontal,1,3.126,0.142,0.186,0.217,0.024,0.167
mixed,Horizontal,2,14.536,0.488,0.654,0.687,0.029,0.628
long,Vertical,1,28.606,0.635,0.774,0.797,0.214,0.566
long,Vertical,2,114.583,1.609,1.723,1.850,0.186,1.546
long,Horizontal,1,11.497,0.416,0.472,0.502,0.182,0.289
long,Horizontal,2,40.569,1.120,1.183,1.211,0.199,0.991
narrow,Vertical,1,4.734,0.301,0.323,0.366,0.185,0.142
narrow,Vertical,2,21.402,0.649,0.844,1.011,0.245,0.568
narrow,Horizontal,1,2.527,0.185,0.269,0.308,0.157,0.113
narrow,Horizontal,2,9.444,0.358,0.456,0.483,0.168,0.291
